reviews,stars,dates
"  Estou aqui para relatar uma experiência que tive, visando contribuir com os amigos que estão com o problema do controle remoto que não abaixa/sobe o volume, nem tampouco liga/desliga a tv. Comprei o meu Fire Stick, instalei em uma tv Sony antiga e tudo funcionando 100%, volume, desligar a tv, ok. Mas colocando ele em outros aparelhos aqui de casa, inclusive uma Smart AOC bem mais nova, em nenhum mais funcionaram os comandos, somente as opções de navegação do Fire. E vi relatos aqui de que para as funções funcionarem a tv teria que ter saída HDMI CEC. Bem, levei o aparelho até a casa de minha mãe, pois ela queria ver o seu funcionamento para decidir se comprava um para ela ou não. Ela tem uma tv da TCL,  e....também não funcionaram as funções Liga/Desliga e volume. Fiquei intrigado pois a TV é nova, bem mais nova que a minha Sony que citei acima. Minha mãe gostou, comprou um para ela e, surpresa, quando instalei o Fire Stick dela...funcionaram o volume e o liga/desliga. Minha humilde conclusão é de que quando vc instala numa primeira tv, ele assume as configurações desta tv e  se vc instalá-lo em outro aparelho, ele não consegue efetuar a compatibilidade do controle remoto porque não apaga da memória interna as configurações do primeiro aparelho que você instalou. Inclusive após a instalação de teste do meu aparelho na TCL, ao verificar as  configurações internas do Fire, estava registrada lá a Sony. Confesso que não tentei fazer o reset para voltar às configurações de fábrica, que provavelmente iria apagar toda a memória e deixá-lo ""zerado"" novamente para poder assumir as configurações de um novo televisor. Essa seria uma sugestão. Desculpem o textão e desculpem também se não ficou claro o que tentei expor aqui. Talvez alguém já tentado fazer o reset de fábrica e mesmo assim não deu certo, neste caso, por favor relate aqui, Estamos todos aqui para nos ajudar. Abraços.",5,2021-06-05
"  Já havia comprado a versão Lite, o que já achei MARAVILHOSO! Porém, ao ver essa versão, não aguentei, comprei novamente. Chegou extremamente rápido (de verdade, chegou rápido MESMO), já é um ponto positivo.Instalei e comecei a analisar. O controle remoto está bárbaro, essa nova versão, Full HD, vem com botões a mais, FINALMENTE colocaram as funções de volume da TV, liga/desliga e, logo abaixo, quase no fim do controle, atalhos rápidos da Netflix, Amazon Prime Vídeo, Disney+ e Amazon Music (Desculpe-me querida Amazon, adoro você, PORÉM, poderia ser Spotify).Novamente só deixo 1 reclamação, CADÊ A GLOBOPLAY nos apps?",5,2021-05-07
"  Bom. Bem fluído, interessante e eficaz em cumprir o que promete. Única reclamação é que o controle não pareou com a Smart TV da Philco de 2019, mas pareou com uma Panasonic arcaica de 2011. Vai entender…[EDIT] descobri que o problema está na TV, e não no Fire Tv Stick. Procure saber antes de comprar se sua TV tem a tecnologia HDMI-CEC nas portas HDMI. A minha Philco, apesar de nova, só tem HDMI-ARC. (Se vc tem Philco, provavelmente não tem)",5,2021-05-07
"  Estou bem chateado, ja possuía o modelo antigo e estava bem contente já, vi esse modelo novo com opções novas no controle, comprei na pré venda, paguei mais caro, chegou e como não têm especificado que a tv tenha que possuir HDMI CEC, eu acabo de perder 379 reais, as opções nao funciona na televisão designada, sendo que de forma alguma NÃO  POSSUI informações de quais tvs funcionam.",3,2021-05-09
"  Aparelho muito bom, está lidando muito bem com o home e com a TV. Tem apenas uma porém, para baixar alguns aplicativos que são GRÁTIS é necessário adicionar uma forma de pagamento, mesmo ele sendo GRÁTIS. Exemplo, para baixar o app do Disney+ foi necessário cadastrar um cartão de crédito na minha conta. Porém, eu já tinha uma conta no Disney+ (¯\_(ツ)_/¯).",4,2021-05-06
"  Comprei na terça-feira, 04/05 e chegou hoje, 07/05. Consegui instalar facilmente na Smart Tv Panasonic. Instalei os principais apps que não tinha como instalar nessa smart: Disney e Amazon Prime.Deu tudo certo, ótimo. E sobre o Disney entra normalmente, não pede cartão de crédito como tem em uma avaliação.Pena não dar para instalar globoplay, mas na minha smart já vem pré-instalado.Comprem sem medo.",5,2021-05-07
"  Ficou muito bom, ótima interação..E tem o Directv Go.....Perfeito nunca mais gastar uma fortuna com TV A CABO..",5,2021-05-09
"  Nota 9 , pois não consigo controlar volume do som Bluetooth que sai na echodot, fora isso o equipamento superou as expectativas !!!!",5,2021-05-06
"  O produto em si cumpre o que promete, mas é uma vergonha a Amazon não colocar todos os apps. Não faz sentido. Conseguem perder pra uma Smart LG. Não tem HBO Max, não tem Globo play, não tem Google play. A Alexa funciona, só que muito pior que nos dispositivos echo. Pra mim não serviu de nada, pois não consegue diferenciar YouTube de YouTube kids. O controle pro voz não permite você falar um endereço de web por exemplo. Você pede pra colocar um programa que está no YouTube ela abre a página do programa mas não disponibiliza pra assistir no YouTube (testes com programas infantis). Realmente muito ruim, se você tem o FireTv antigo não compensa fazer esse upgrade. Gosto muito dos produtos Amazon, tenho duas echo, mas essaFireStick não presta.",1,2021-07-02
"  Aparelho muito prático e facilitou o uso dos streamings, o controle é muito bonito e ótimo de se usar, o aparelho é muito menor do que eu esperava, a mudança de apps são rápidas. A única coisa q fiquei desapontado, é o mesmo de outros usuários, senti falta da Globoplay neste aparelho.[Edit] 3 semanas com o aparelho, e teve alguns bugs no YouTube e Telecine, mas foi resolvido facilmente. Mas tirando isso, está rodando perfeitamente, valeu cada centavo.[Edit 2] Quase 4 semanas com o aparelho, apresentou problemas com o YouTube, os vídeos não reproduziam, tive que reiniciar o FireTV. Também apresentou problemas com a Twitch várias vezes, as lives travam do nada, e não reproduziam, e quando eu fechava o aplicativo, e tentava abrir novamente, a Twitch travava e não abria, e tinha que reiniciar o FireTV também.",5,2021-05-23
"  A melhor escolha que fiz. Tem um controle muito fácil de usar, com comando de voz eficiente, principalmente em pesquisas do Youtube, assim não preciso ficar digitando, e controla a TV também. Bluetooth eficiente, dá para conectar fone, inclusive conectei minha caixinha de som rapidamente, a ainda é super rápida e fluida. Instalei aplicativos como My family, TV Express, e não trava. Podem comprar sem medo. Já tive várias TV Box, mas esta está me surpreendendo. Ótimo produto.",5,2021-05-12
"  Achei que tem muitas funcionalidades legais, principalmente a integração com a Alexa porém, já travou várias vezes e só destrava quando eu desligo na tomada e duas vezes tive problemas de som com ele pareado no Echo Dot. Pensando se devo insistir ou volto a usar meu Mi Stick.Quase um mês de uso e com o sistema atualizado com a versão mais recente e os problemas de travamento persistem. Sempre preciso desligar na tomada e ligar novamente e isso incomoda ao extremo toda vez que tento maratonar alguma série ou assistir um filme.Já fiz tudo que os atendentes me orientaram, desde desligar por uns minutos até mesmo voltar às configurações de fábrica mas não tem jeito. Se usar por uns minutos, trava.",1,2021-09-24
  tudo,5,2021-05-05
"  Em relação ao software é 10. Em relação ao material do controle é péssimo. O controle range todas as vezes que aperto o botão como mostrei no video. O controle da net tem uma qualidade bem superior a esse, to falando de material.",2,2021-05-11
"  Em 22/09/21 comprei o Novo Fire Tv Stick com controle remoto por voz com Alexa Streaming em Full HD. Hoje é 10/10/21. Desde a compra até hj tentei por diversas vezes fazer funcionar o aparelho, sem chance de sucesso. Ele trava quando assisto filmes, fica mudo e apresenta na tela uma mensagem de incompatibilidade. Já li tudo o que escreveram, já reconfigurei diversas vezes o som, já usei todos os recursos disponibilizados na configuração do som e quando penso que o Fire Stick finalmente resolveu funcionar corretamente com meu aparelho de som da Denon, 45 minutos ou 90 minutos depois ele pára de funcionar às vezes congelando imagem, outras vezes ficando mudo (com imagem mas sem som). Sem contar que a informação de incompatibilidade entre o produto e a entrada HDMI aparece na tela do meu TV Sony há cada 10/15 minutos. Como tenho também um Stick da Xiaomi e nada disso ocorre quando o instalo na mesma TV e com o mesmo equipamento de som - imagem não congela, som não fica mudo, ao contrário, soa com nitidez absoluta nas 7 caixas do meu Denon -  só posso pensar que meu Fire TV Stick esteja com defeito. Mas estou um pouco cético em relação a isso porque tenho lido que muitos usuários estão com o mesmo problema. Finalizando: Amazon, o que devo fazer? Nota fiscal de compra 034.001.937. Carlos Alberto Lopes.",1,2021-10-10
"  O aparelho apresenta alguns problemas, como queda na qualidade do som, a alexa parar de funcionar. Tais problemas só são resolvidos quando p dispositivo é desligado da tomada. Além disso, a fire tv não conta com aplicativos como Globoplay e HBOgo, nem permite o espelhamento desses aplicativos na televisão.",3,2021-05-12
"  Ótimo produto mas poderia ser melhor, aplicativo do HBO Max não disponível na loja, comprei o Fire Stick para centralizar meus apps de streaming em um só lugar mas ainda preciso usar o computador. Espero que disponibilizem logo o app da HBO.",4,2021-09-01
"  Apesar de alguns canais de streamings como globo, premiere, entre outros não estarem disponíveis na loja da Amazon, a gente pode acessar pelo navegador de internet qualquer site, por a senha e assistir sem nenhum problema. É só expandir a tela, configurar a página como favorito e salvar a senha que toda vez que quiser assistir basta acessar.é um pouco trabalhoso, mas é fácil.Um ponto negativo que a loja de Apps da Amazon precisa corrigir é na hora de baixar os Apps disponíveis com You tube, Dazn, Telecine, Paramount entre outros, fica aparecendo uma mensagem para pagar na hora de baixar o APP. tem que ver isso aí! Por que tem que ir em configurações, por uma forma pagamento disponível pra poder baixar, mesmo estando R$ 0 a cobrança. Isso assusta qualquer usuário.Fora isso, é muito satisfatório ter o dongle.",5,2021-05-12
"  Travando direto com pouco tempo de uso. Nao é travando por causa da internet. Trava do nada e tem q tirar da tomada para reiniciar. Inutilizado. Mandei email e estou aguardando contato. 19/09/21- entrei em contato e disseram q o problema era por eu nao estar usando o cabo extensor hdmi, e devo ter perdido, pq nao o encontro. Ou seja, deveriam colocar na caixa do aparelho q o uso é obrigatório senao vc terá problemas (foi o q me disseram). Entao lance o extensor acoplado ao produto. O fire tv não está sendo usado aqui em casa.",1,2021-06-26
"  Integra bem com a Alexa, controle funciona muito bem.Mas fica dando interferência na TV a todo momento, não da para plugar atrás, o extensor que veio junto não auxilia, tive de comprar um cabo extensor, e a interferência continua. Há anos usava chromecast nessa tv, e nada que eu faça melhora, agradeço se alguém tiver dicas pois não achei nenhuma opção de suporte na Amazon.[att] consegui sanar a interferência utilizando o extensor que veio junto plugado na tv, o cabo extensor (que comprei a parte) plugado nele e aí então o fire stick, uma bela gambiarra, mas funcionando perfeitamente agora.",4,2021-05-09
"  O produto me surpreendeu até o momento. Excelente qualidade e até agora rodando liso e sem travamentos, mesmo ligado apenas no USB. Quando da instalação e atualização inicial houve uma mensagem requerendo que ligasse o aparelho em fonte alternativa devido a falta de alimentação suficiente; mesmo ignorando a mensagem o processo de atualização se concluiu e assim permanece. Layout bonito e controle bem intuitivo, capaz de controlar também a própria TV. Não localizei para baixar o app  Youtube Music, que curto bastante, mas fiz o acesso pelo navegador e então, tudo certo. Recomendo...",5,2021-05-07
"  Comprei na intenção de automatizar ainda mais minha casa, uma vez que já possuo sistema de automatização de interruptores, tvs e etc.Contudo, ao instalar o Fire Stick TV, sempre que mando ligar a TV, o Fire TV toma a prioridade para ele, mudando automaticamente a porta HDMI para o do aparelho.Tenho preferência ao ligar a TV conectar automaticamente na TV a Cabo. Não consegui configurar para que sejam mantidas as minhas preferências e não a do aparelho (Fire Stick TV).Este foi um ponto que até então, me deixou bastante descontente.",2,2021-05-25
"  Gostei bastante, Amazon é sinônimo de qualidade. Eu tinha a versão basic que era muito inferior a essa.Teve um ponto negativo nesse controle, o botão de volume é muito lerdo, eu preciso apertar mais de uma vez pra alterar o volume, e pra mim isso e um ponto importante, pois, ter botões de volume foi oq me levou a comprar para não precisar usar dois controles! Esse é o único problema q eu vi até o momento. Mas no geral está ótimo!",3,2021-05-07
"  Tudo bem, fui ""velho"" ao chamar de televisor ;-) Mas ele é perfeito mesmo! Já uso as alexas desde que vieram para o Brasil e a interação com a alexa é bem interessante. Uma vez que o Fire TV estava ligada e eu pedi à alexa do quarto para reproduzir uma série, ela falou ""agora esta alexa está habilitada a controlar seu Fire TV Stick"" (ou algo parecido rs..) e desde então, com a TV ligada, basta pedir: "".. alexa, reproduzir ""tal"".."" e ela já encontra sozinha em qual streaming de vídeo está e coloca na tv. Fantástico!",5,2021-06-08
"  Só não darei 05 estrelas porque considero que, pelo preço, poderia ter mais opções para instalação de Apps. de vídeo (um pouco limitado) não aceita Globoplay por exemplo. Mas no geral é bom, a funcionalidade da IA - Alexa é muito boa; funciona e ""entende"" praticamente tudo. Roda bem, rápido e flúido; sem travamentos. Fácil instalação.",4,2021-05-09
"  O fire stick funciona perfeitamente e adoramos tudo, mas o controle não durou nada. Um mês e já está com suas funções quebradas (selecionar e o descer do círculo). Não encontrei nenhum lugar para falar do problema com a Amazon, só para perdoe a devolução total do produto, faltou uma assistência ao cliente. Gostamos muito do aparelho, mas estamos decepcionados com o controle. Não consigo contato com a Amazon conforme funciona com vendedores externos que a própria Amazon intermedia",1,2021-08-23
"  Rápido e fácil de instalar, funciona muito bem com Netflix, Amazon Prime, Apple tv+ e YouTube. Só não tem o app da Globoplay e HBO max o que limita um pouco. Fora isso é uma excelente maneira de transformar uma televisão que não tem esses recursos em uma smart tv. Se sua tv já for smart, não há necessidade de se ter um Fire TV.A integração com a minha TV Samsung foi imediata, falta o botão source no controle do fire para alternar entre TV e streaming, por conta da falta deste botão não pude aposentar o controle da TV.",4,2021-08-14
"  Fire Stick TV realmente tem qualidade para ser o melhor disponível no mercado brasileiro. Alexa, controle que controla a TV por infravermelho, facilidade de instalação, etc. O problema é que o sistema utilizado pela Amazon é tão fechado que acaba prejudicando demais o aparelho. Para quem tem outra TV Box (Tenho a Mibox S com Android TV), é decepcionante você ter tanta dificuldade para instalar aplicativos, especialmente os mais conhecidos. Não ter o HBO Max beira o absurdo para uma empresa que pretende ampliar sua fatia de mercado nesse segmento.Pontos positivos:* Alexa (inclusive podendo ser controlada pela Echo Show ou Echo Dot)* Pesquisa Integrada por voz (Ex. Pesquise um filme, ele te mostrará a opção em todos os apps em que estiver disponível)* Controle Remoto com infravermelho para controlar a TVPontos Negativos:* Sistema operacional travado* Ausência de aplicativos essenciais, tais como: Premiere e HBO Max (Premiere pode ser acessado pelo Amazon Prime, mas se tiver uma conta por operadora, não é oferecida a opção de login) - HBO Max tem de ser instalado por gambiarra...",3,2021-12-16
"  Em suma, é muito bom, integra bem com a Alexa, os comandos e etc, o controle é excelente, pois liga e desliga a tv, tem função de aumentar e diminuir volume e mute, tem um navegador muito bom também, são pontos positivos, mas é realmente muito, mas muito decepcionante não ter o aplicativo do globoplay e o hbomax que estão super em alta no Brasil. Espero que em breve faça parte, ou a decepção com isso só aumentará.Mesmo sendo possível instalar estes apps por um ""macete"", não resolve 100% a questão dos canais ao vivo do globoplay. ( Uma dica é salvar os canais globo no navegador e utilizar por lá).Ah, também não dá para remover os apps da própria Amazon, que ficam ocupando espaço inutilmente para quem não usa, como o Amazon music, ou prime vídeo, por exemplo. E é muito chato que fica mostrando sugestão o tempo todo do amazon prime (ou pelo menos não descobri como retirar).Eu tinha um Mi TV stick e só troquei pelo fire tv por causa da integração com a Alexa e do controle, caso contrário não teria trocado, visto que o Mi usa a galeria de apps do Google, tem de tudo e é muito fácil de mexer.Se você não tem globoplay e hbomax, não fará diferença pra você, mas se você tiver, principalmente o globoplay e usar bastante, não tiver a Alexa, escolha o mi tv stick da xiaomi.Se assim como eu, você tem globoplay, hbo Max e Alexa, vai depender muito do que você quer de fato. Eu queria integração da tv com a Alexa e agora eu tenho, mas tem esse ""mas..."" por conta desses dois apps principalmente. Ainda não sei se me arrependi, mas a dúvida já é um mal sinal.",3,2021-08-27
"  Botão Liga/Desliga , não está funcionando pois para desligar o Fire Tv Stick ou tiro da tomada ou deixo ele entrar em suspensão de energia depois para ligar não consigo pelo botão , tenho que tirar da tomada e volta outra vez!!! Controle volume TB não está funcionando . Fiz as configurações corretas mas não funciona",4,2021-05-11
"  Que sensacional! O modelo da minha tv é uma das primeiras smarts e a imagem bem fraca. Foi colocar o fire stick que parece q virou de última geração! Óbvio que tem q ter uma internet excelente tbm, mas eu tô bem satisfeito com o aparelho. Íntegra TDS os streamings além de ter canais oferecidos pela Amazon gratuitamente (basta ficar de olho na memória do dispositivo). Intuitivo, simples, silencioso, fora q Alexa é excelente!",5,2021-05-10
"  Devo dizer que estou bem decepcionado.Comprei esse produto faz umas duas semanas e de primeira começou a travar toda vez que eu estava assistindo algo, ao ponto de precisar tirar da tomada e reconectar para voltar a funcionar. A equipe da Amazon entrou em contato comigo, fiz tudo o que me sugeriram, cheguei mesmo a restaurar às configurações de fábrica TRÊS vezes, porém, o problema persistia.Pensando que podia ser algum defeito no meu dispositivo realizei o processo de devolução e comprei outro igual, contudo, o percebi que o problema persiste. Notei ainda que o problema acontece toda vez que crio um sistema de som combinando speakers entre o fire sitck e a echo dot através do aplicativo Alexa. Pelo visto o defeito não era só do primeiro dispositivo que eu tinha comprado, mas deve ser algo do software que está falho ou algo do tipo.Me sinto extramente frustrado pois era um produto que tinha tudo pra ser excelente, mas por ter esse defeito de travar toda vez que combina os speakers claramente não cumpre plenamente o que se propõe, é realmente uma pena.",2,2021-07-13
"  Eu comprei esse modelo justamente pelos botões de volume e power mas nenhum funciona com minha TV, basicamente paguei mais caro sem poder usar, não foi especificado na descrição a necessidade de ser HDMI CEC.",3,2021-05-15
"  Pow, Amazon, que isso? vcs eram tão competentes coma a entrega, sou cliente há anos. Mas o q está acontecendo com a operação de vcs em Pernambuco? - tanto o Echo Dot quanto a Fire Tv que comprei recentemente, chegaram com dias de atraso e as embalagens vieram toda amassada, os produtos todos bagunçados, parecendo q alguém tinha jogado futebol com as caixas. Só não devolvi pq, por milagre, os produtos estavam funcionando mesmo estando com a embalagem danificadas.",1,2021-09-27
"  Pontos positivos: o processo de instalação é bem orientado pelo próprio aparelho. As funcionalidades da Alexa são interessantes. A qualidade da transmissão é impressionante. Comprei em pré-venda e chegou no exato dia programado. Pontos negativos: Preço salgado. Controle remoto aparentemente frágil. Poucos apps (não achei o SKY, Premiere (incompatível com apps dos canais Globo), e outros de meu interesse. O espelhamento de tela é muito ruim (neste quesito, perde de longe para os Chromecasts que tenho em outros ambientes da casa). Acredito que possa melhorar muito ainda.",5,2021-05-17
"  Teclado na tela não é QWERT, e também o navegador Silk não sincroniza senhas, e usuários, não existe mais a possibilidade de instalar o Navegador Firefox.Aplicativo Fire TV, tem um joystick virtual Confuso. Poderia ter um guia de Canal no aplicativo de celular, e opção de aumentar e diminuir som no aplicativo. Outro detalhe que falta é ter o mesmo visual do aplicativo Alexa.",4,2021-05-07
"  Gostei muito do produto, achei somente que o controle é um pouco frágil. Quanto ao produto, estou satisfeito até agora.Mas escrevo aqui para fazer uma reclamação da entrega pela Amazon. Eles escolheram uma péssima transportadora para fazer a entrega, onde além de demorar mais de uma semana para a entrega, a caixa do Fire stick veio bem amassada como mostro nas fotos. Pelo rastreamento, meu firestick rodou o Nordeste todo até chegar em minhas mãos. Só a título de comparação, comprei um celular no site das Americanas e me entregaram em 2 dias em uma caixa bem protegida. O Firestick  pela Amazon veio dentro de um envelope com plástico bolha somente.Fiquei um pouco decepcionado com essa logística da Amazon, pois estou acostumado a fazer compras online e foi a primeira vez na Amazon.",1,2021-08-18
"  Sempre via em vídeos o pessoal falando com a Alexa sem encostar em nada, mas isso só é possível se você também tiver uma ECHO SHOW, informação que me foi confirmada pelo suporte da Amazon. Os comandos dados a ela funcionam bem, mas sem uma caixa de som externo eles só poderão servir se você apertar o botão de microfone primeiro.Outros detalhes importantes: O Fire Stick vem com uma caixinha extra para melhorar o sinal do wi-fi, não a ignore, minha tv fica do lado de um repetidor e o sinal caia com certa frequência, coloquei a caixinha quando instalei o Fire Stick e agora ele não cai mais.Enfim, estou muito satisfeito com a compra :DPs: Amazon, traz logo a Globo Play e o HBO MAX de forma oficial para a Fire Stick :)",5,2021-10-23
"  O Fire Stick trava (aconteceu várias vezes) e é necessário desligar a fonte de energia. A conexão com o Echo Studio, por vezes, deixa de funcionar, especialmente quando é dado comando de voz para Alexa controlar a apresentação de andamento de vídeo (Amazon ou Netflix), deixando de sair som tanto no Echo Studio como na TV. Nesses casos é necessário desparear os dispositivos, mas nem sempre isso funciona, tendo que também desligar o Fire Stick da fonte de energia elétrica.  O software/hardware do Fire Stick deixa a desejar pois é incapaz de enviar o som ao mesmo tempo para a TV (via HDMI) e para o Echo Studio (via Bluetooth). Assim como não há opção de enviar o som via HDMI ou Bluetooth, de acordo com a preferência do usuário, sem ter que desparear os dispositivos",3,2021-07-04
"  Muito contente com o FIRE TV STICK da Amazon. Não atende 100% nossas expectativas em razão da ausência da HBOMAX, mas deve ser apenas questão de tempo estar disponível também. De resto, perfeito! Principalmente por não ter Globoplay! Um SALVE às mais diferentes plataformas de  Streamings que  nos libertaram de mais de 50 anos de lavagem cerebral empurradas ""goela a baixo""! Certo que era pela TV aberta, mas não tínhamos como nos livrarmos do assédio visual e auditivo pois ela estava em todo lugar que se ia, na pastelaria da esquina, no consultório médico, no salão de beleza, no açougue, em toda e qualquer sala de espera, na banca de revista (quando ainda comercializavam esses produtos em papel), na borracharia, na rodoviária, no aeroporto, enfim, em TODOS OS LUGARES! Em todos os horários a nos impor a ditadura de pensamento e de costumes, entre outros. Mas, sim, falando especificamente do FIRE TV STICK, chegou em perfeitas condições e antes do previsto. Muito simples e fácil sua instalação e  configuração na TV - meu  aparelho é um LG adquirido há 18 anos, e ficou tinindo de moderno! Dentre todas suas funcionalidades a que mais empolgou a todos em casa foi sem dúvida a ALEXA! ESTAMOS MUITO SATISFEITOS COM O PRODUTO!",5,2021-11-16
  Minha experiência tem sido maravilhosa.,5,2021-05-07
"  Minha Smart TV é de 2010, e já não dispunha de YouTube, Plex, Prime Video, etc.  Além de que, mesmo os Aplicativos ainda disponíveis (NetFlix), eram Versões bem antigas!  Agora, com o Fire TV, não apenas pude instalar Versões bastante atuais de todos estes Aplicativos, como a performance é muito melhor que a da Smart TV!  Além é claro, da facilidade de poder utilizar os comandos de voz da Alexa para acessar o que preciso.  E ainda por cima, o Controle da Fire TV, foi integrado a TV/Sound Bar, então além de controlar o Volume da TV, posso ligar/desligar tudo pelo Controle da Fire TV, ou por comando de voz da Alexa.",5,2021-06-11
"  Produto incrível, de fácil instalação com boa fluidez, tenho um Fire TV Stick Basic que já é bom, mas esse novo supera na qualidade do desempenho sem contar que vem com os botões de comandos que facilita muito adorei.",5,2021-09-09
"  Tela trava frequentemente mesmo utilizando só Netflix e Prime Vídeo. Sendo necessário religar o cabo de força. Só não fiz devolução porque perdi embalagem. Melhor que o Chromecast antigo que não tem controle, mas devido às inconveniência de ter que ficar levantando múltiplas vezes ao longo de 1 único episódio de seriado pra resetar o aparelho, me faz preferir utilizar o Chromecast antigo sem controle remoto mesmo.",1,2021-07-02
